City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Clyde River,CA,2020-11-01 15:36:23,70.47,-68.59,12.2,85,1,13.87,clear sky
183,Luwuk,ID,2020-11-01 15:36:23,-0.95,122.79,77.63,61,91,4.07,overcast clouds
184,Lagoa,PT,2020-11-01 15:36:24,39.05,-27.98,66.0,84,85,21.27,overcast clouds
185,New Norfolk,AU,2020-11-01 15:36:24,-42.78,147.06,52.0,73,99,0.65,overcast clouds
186,San Quintin,MX,2020-11-01 15:36:24,30.48,-115.95,72.86,43,3,4.41,clear sky
187,Sovetskiy,RU,2020-11-01 15:36:24,61.36,63.58,28.4,96,0,8.03,clear sky
188,Spornoye,RU,2020-11-01 15:36:24,50.84,37.29,48.2,93,90,4.47,mist
189,Pergamino,AR,2020-11-01 15:32:35,-33.89,-60.57,78.01,36,0,4.0,clear sky
190,Barcelos,PT,2020-11-01 15:36:25,41.54,-8.62,64.4,100,75,12.75,light intensity drizzle
191,Dunn,US,2020-11-01 15:36:25,44.95,-91.88,30.0,54,40,17.22,scattered clouds
192,Mount Gambier,AU,2020-11-01 15:36:25,-37.83,140.77,48.2,93,96,6.93,overcast clouds
193,Umkomaas,ZA,2020-11-01 15:36:25,-30.21,30.8,62.01,92,100,1.01,moderate rain
194,Gombong,ID,2020-11-01 15:36:25,-7.61,109.51,52.0,10,100,1.19,light rain
195,Twin Falls,US,2020-11-01 15:36:25,42.35,-114.64,35.6,55,1,19.46,clear sky
196,Araouane,ML,2020-11-01 15:36:26,18.9,-3.53,94.93,10,55,10.16,broken clouds
197,Puerto Maldonado,PE,2020-11-01 15:36:26,-12.6,-69.18,86.0,51,0,4.7,clear sky
198,Nouakchott,MR,2020-11-01 15:35:14,18.09,-15.98,100.4,23,99,10.29,overcast clouds
199,Saint-Denis,FR,2020-11-01 15:36:26,48.92,2.33,66.2,82,90,14.99,overcast clouds
200,Kachug,RU,2020-11-01 15:36:26,53.96,105.88,15.51,86,4,1.72,clear sky
201,Zhengjiatun,CN,2020-11-01 15:36:26,43.51,123.51,34.95,69,0,9.89,clear sky
202,Shupiyan,IN,2020-11-01 15:36:26,33.72,74.83,47.71,50,1,4.32,clear sky
203,Lampang,TH,2020-11-01 15:36:27,18.33,99.5,73.49,91,0,0.2,clear sky
204,Badah,PK,2020-11-01 15:36:27,27.33,68.01,73.87,18,0,2.77,clear sky
205,Colares,PT,2020-11-01 15:36:27,38.8,-9.45,66.0,88,40,8.05,scattered clouds
