City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
253,Rantauprapat,ID,74.73,overcast clouds,2.1,99.83,Permata Land Hotel & Resort
255,Kapit,MY,75.18,moderate rain,2.02,112.93,Hotel Meligai Kapit
260,Abadan,IR,84.2,clear sky,30.34,48.3,Amir Kabir Hotel
261,Port Hedland,AU,75.2,scattered clouds,-20.32,118.57,The Esplanade Hotel
263,Cilegon,ID,78.8,few clouds,-6.02,106.05,Forbis Hotel
271,Ouadda,CF,73.17,light rain,8.08,22.4,
273,Manggar,ID,79.66,overcast clouds,-2.88,108.27,Guest Hotel
274,Gambela,ET,75.4,light rain,8.25,34.58,Solomon Debebe Hotel
276,Dicabisagan,PH,79.72,overcast clouds,17.08,122.42,Nancy Montanes Bernardo
277,Dwarka,IN,82.71,scattered clouds,22.24,68.97,Hotel Narayan Avezika Comfort
278,Buchanan,LR,81.16,moderate rain,5.88,-10.05,Kamaneahn Hotel Inc
280,Birao,CF,86.5,clear sky,10.28,22.79,
281,Aviles,ES,73.99,few clouds,43.55,-5.92,Hotel NH Collection Palacio de Avilés
287,Sadat,IN,75.2,haze,25.68,83.28,Atul New House
292,Guerrero Negro,MX,73.06,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
296,Vila Velha,BR,75.2,broken clouds,-20.33,-40.29,Hotel Vitória Palace
297,Karratha,AU,71.55,scattered clouds,-20.74,116.85,ibis Styles Karratha
298,Pucallpa,PE,82.4,broken clouds,-8.38,-74.55,Hotel Sol de Oriente - Pucallpa
301,Sabha,LY,71.11,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
307,Kavaratti,IN,82.54,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
309,Harper,LR,81.12,light rain,4.38,-7.72,Screensaver
311,Hobyo,SO,81.82,clear sky,5.35,48.53,Osmani Hotel
318,Mahebourg,MU,71.6,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
320,Manokwari,ID,81.34,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
321,Alofi,NU,75.2,scattered clouds,-19.06,-169.92,Taloa Heights
322,Srikakulam,IN,78.67,clear sky,18.3,83.9,Sriram residency
324,Chumphon,TH,73.65,heavy intensity rain,10.33,98.83,บ้านอิงน้ำ โฮมสเตย์
326,Praia,CV,80.82,clear sky,14.92,-23.51,LT Aparthotel
327,Kavieng,PG,82.81,light rain,-2.57,150.8,Nusa Island Retreat
328,Latung,PH,83.25,moderate rain,5.5,120.88,
329,Dingle,PH,75.49,overcast clouds,11.0,122.67,Camp Pasica
333,Dong Hoi,VN,75.18,light rain,17.48,106.6,Nam Long Hotel
334,Barra Do Garcas,BR,82.4,broken clouds,-15.89,-52.26,Hotel Pousada Tropical
336,Maceio,BR,87.8,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
340,Aborlan,PH,80.6,light rain,9.44,118.55,Kevina Transient House
344,Cartagena,CO,75.2,moderate rain,10.4,-75.51,Costa Del Sol
351,Pathein,MM,76.75,broken clouds,16.78,94.73,Pathein Hotel
362,Pa Sang,TH,78.01,few clouds,18.53,98.94,โรงแรม จามจุรี 99
363,Isangel,VU,75.38,clear sky,-19.55,169.27,Volcano Sea View Tree House
365,Rock Sound,BS,82.13,scattered clouds,24.9,-76.2,Rock Sound Club
368,Raga,SS,79.18,light rain,8.46,25.68,
369,San Patricio,US,72.0,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
370,Tutoia,BR,86.09,overcast clouds,-2.76,-42.27,Pousada Guará's
371,Luderitz,,73.22,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
372,San Cristobal,VE,78.8,broken clouds,7.77,-72.22,Pirineos
373,Torrijos,ES,73.0,overcast clouds,39.98,-4.28,Hotel La Salve
374,Mount Isa,AU,77.0,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
375,Singaraja,ID,80.42,broken clouds,-8.11,115.09,Puri Bagus Lovina Resort
376,Acapulco,MX,84.96,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
378,Takoradi,GH,82.27,light rain,4.88,-1.76,Raybow International Hotel
386,Nisia Floresta,BR,86.0,broken clouds,-6.09,-35.21,Rancho Crepusculo
391,Cabo San Lucas,MX,80.01,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
393,Galle,LK,79.97,few clouds,6.04,80.22,Amangalla
394,Belmonte,BR,77.0,shower rain,-15.86,-38.88,Pousada Monte Carmelo O Pão
395,Kitgum,UG,76.53,overcast clouds,3.28,32.89,Jaflo Gardens Hotel
401,Pangoa,PE,85.1,clear sky,-12.12,-73.0,
402,Natal,BR,86.0,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
406,Cabedelo,BR,86.0,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
407,Yeppoon,AU,71.6,broken clouds,-23.13,150.73,Villa Mar Colina
413,Port Blair,IN,80.96,scattered clouds,11.67,92.75,Fortune Resort Bay Island
419,Matay,EG,76.28,clear sky,28.42,30.78,Nag Aespen
420,Kanniyakumari,IN,81.09,broken clouds,8.08,77.57,Sparsa
421,Alexandria,EG,77.0,scattered clouds,31.22,29.96,Royal Crown Hotel
425,Salinopolis,BR,86.65,few clouds,-0.61,-47.36,Hotel Salinópolis
426,Sagua La Grande,CU,84.2,broken clouds,22.81,-80.08,Hotel Amaro
428,Myitkyina,MM,70.11,light rain,25.38,97.4,Shwe Phyu Hotel
430,Caxito,AO,82.4,scattered clouds,-8.58,13.66,
431,Turbat,PK,70.79,clear sky,26.0,63.04,Mubashar Quarters
432,San Policarpo,PH,78.75,broken clouds,12.18,125.51,Zal-Ann Beach Resort
434,Saint-Joseph,RE,71.6,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
436,Kabo,CF,81.66,scattered clouds,7.7,18.63,
438,Akyab,MM,78.3,moderate rain,20.15,92.9,Hotel Memory
440,Benghazi,LY,71.33,clear sky,32.12,20.07,Tibesti Hotel
441,Wanning,CN,72.46,scattered clouds,18.8,110.4,Paradise Hotel
447,Namibe,AO,80.6,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
449,Pappinisseri,IN,80.6,mist,11.95,75.35,OYO 3961 Kairali Heritage
451,Fougamou,GA,87.8,broken clouds,-1.22,10.58,Résidence d'Hôtes Bapedy
